ra,dec,apflux_r_0.5arcsec,apflux_r_0.75arcsec,apflux_r_1.0arcsec,apflux_r_1.5arcsec,apflux_r_2.0arcsec,apflux_r_3.5arcsec,apflux_r_5.0arcsec
0.030109069,-52.83208135,8.9225,14.8995,18.8732,22.2781,23.4728,24.5878,25.3999
0.0383579,-33.85072426,20.0319,35.4355,47.7176,61.5244,67.3969,72.6358,74.748
0.049857338,-64.99584629,8.3005,14.476,19.3145,24.6132,26.6889,28.4419,29.2163
0.051620073,-36.11058592,2.464,4.7188,6.8974,9.8383,11.203,12.3805,13.1708
0.051800775,-36.11059732,3.187,5.7075,7.8097,10.2603,11.3764,12.4043,13.1314
0.053229219,-53.90540332,38.4124,65.3858,84.1856,101.7833,108.4534,114.202,115.8703
0.053760086,-0.281966898,13.9534,24.272,32.1867,40.3492,43.4679,46.1695,47.3556
0.053846697,-0.28215431,11.5644,21.6116,30.3589,39.9297,43.3661,46.1439,47.2273
0.056305341,-44.48485406,52.8656,89.4769,115.2658,140.1616,149.5769,157.6522,159.6146
0.068736168,-48.94099056,25.8171,43.773,56.2914,67.7028,71.7583,75.056,76.0663
0.068964361,-23.88931792,6.0811,10.8434,14.7375,18.9162,20.3863,22.0909,23.7679
